outcome,region,sample,term,beta_std,pval,sig90,sig95
dlog_idp,north,post,inflation_food_price_index_L4_6,0.006390495869906589,0.7972010702336634,False,False
dlog_idp,north,post,ln_c_fuel_gas_L4_6,0.012628059744776588,0.5644566477124295,False,False
dlog_idp,north,post,ln_c_fuel_gas_L7_9,-0.06980482910987247,0.1551022487762057,False,False
dlog_idp,north,post,ln_total_best_deaths_L10_12,-0.009386551030572758,0.835529301270951,False,False
dlog_idp,north,post,ln_total_best_deaths_L4_6,0.09207100508652812,0.19126733104972993,False,False
dlog_idp,north,post,ln_total_events_L10_12,0.01642130876176561,0.7437468907749563,False,False
dlog_idp,north,post,ln_total_events_L4_6,-0.10706325533878316,0.16967763352912058,False,False
dlog_idp,north,post,ndvi_anom_1m_L10_12,-0.0907069044776111,0.23470467820797714,False,False
dlog_idp,north,post,ndvi_anom_1m_L1_3,-0.02038255093484956,0.5276772982824909,False,False
dlog_idp,north,post,sm1_anom_1m_L10_12,0.06736289665047618,0.2662023660065107,False,False
dlog_idp,north,post,sm1_anom_1m_L1_3,-0.005322110495298703,0.9626187583260426,False,False
dlog_idp,north,post,spi6_L10_12,-0.08054812540960711,0.34763063645394654,False,False
dlog_idp,north,post,spi6_L4_6,0.06660852236432518,0.6592856514542329,False,False
dlog_idp,north,post,spi6_drought_severity_L4_6,-0.025835609545673672,0.11789515467234368,False,False
dlog_idp,north,post,spi6_drought_severity_L7_9,0.023520196868825196,0.4153812104837238,False,False
dlog_idp,north,post,spi6_flood_severity_L10_12,0.07400617450459505,0.36230186945103604,False,False
dlog_idp,north,post,spi6_flood_severity_L4_6,0.060632486323003734,0.397824521024178,False,False
dlog_idp,north,post,t2m_max_anom_1m_L10_12,0.14149159784521076,0.2090514918988513,False,False
dlog_idp,north,post,t2m_max_anom_1m_L1_3,0.11639007426059236,0.04378191409331067,True,True
dlog_idp,north,pre,W30_inflation_food_price_index_L10_12,-0.11369115690395945,0.18598033686063564,False,False
dlog_idp,north,pre,W30_inflation_food_price_index_L1_3,0.034577515927477175,0.49062026610609055,False,False
dlog_idp,north,pre,W30_ln_c_fuel_gas_L1_3,-0.10921605293785278,0.01791975636740717,True,True
dlog_idp,north,pre,W30_ln_c_fuel_gas_L7_9,0.1300311199738632,0.06893485179053083,True,False
dlog_idp,north,pre,W30_ln_total_best_deaths_L10_12,-0.06805991616677382,0.7472070419367727,False,False
dlog_idp,north,pre,W30_ln_total_best_deaths_L1_3,0.03149940621527207,0.8089921331226064,False,False
dlog_idp,north,pre,W30_ln_total_events_L10_12,-0.04798689124466003,0.8017966850627953,False,False
dlog_idp,north,pre,W30_ln_total_events_L1_3,0.021987538475748594,0.8400416492023735,False,False
dlog_idp,north,pre,W30_ndvi_anom_1m_L1_3,0.012611358258054184,0.8081075955528316,False,False
dlog_idp,north,pre,W30_ndvi_anom_1m_L7_9,0.09381264444363728,0.21409645677167521,False,False
dlog_idp,north,pre,W30_sm1_anom_1m_L10_12,-0.020687918689814847,0.7640995219454054,False,False
dlog_idp,north,pre,W30_sm1_anom_1m_L1_3,0.05751764817709054,0.6496388861290585,False,False
dlog_idp,north,pre,W30_spi6_L1_3,-0.1206478392226764,0.3174256033496279,False,False
dlog_idp,north,pre,W30_spi6_L7_9,0.23772221402655597,0.10259572661674077,False,False
dlog_idp,north,pre,W30_spi6_drought_severity_L10_12,0.0730891558891198,0.2637567863246204,False,False
dlog_idp,north,pre,W30_spi6_drought_severity_L1_3,-0.04793779111258034,0.4015074746526035,False,False
dlog_idp,north,pre,W30_spi6_flood_severity_L4_6,-0.023540013900179766,0.3979784313981658,False,False
dlog_idp,north,pre,W30_spi6_flood_severity_L7_9,-0.06855441072486362,0.036779266761274965,True,True
dlog_idp,north,pre,W30_t2m_max_anom_1m_L10_12,-0.002640191198422741,0.9659939746736366,False,False
dlog_idp,north,pre,W30_t2m_max_anom_1m_L1_3,-0.08482216587425324,0.12607141272214895,False,False
dlog_idp,north,pre,inflation_food_price_index_L10_12,-0.007982301821344994,0.7648256928319568,False,False
dlog_idp,north,pre,inflation_food_price_index_L4_6,0.030837356353041582,0.37515995191306706,False,False
dlog_idp,north,pre,ln_c_fuel_gas_L4_6,0.02215958962997797,0.4492791172317645,False,False
dlog_idp,north,pre,ln_c_fuel_gas_L7_9,-0.08987007630788833,0.00591567597893583,True,True
dlog_idp,north,pre,ln_total_best_deaths_L10_12,-0.050723074288750246,0.28259870273447785,False,False
dlog_idp,north,pre,ln_total_best_deaths_L4_6,-0.0912584331633885,0.140967015455558,False,False
dlog_idp,north,pre,ln_total_events_L10_12,0.0851458005795359,0.0875514447231065,True,False
dlog_idp,north,pre,ln_total_events_L4_6,0.10824108080476205,0.12592864029988693,False,False
dlog_idp,north,pre,ndvi_anom_1m_L10_12,-0.03592837546223721,0.269927109272162,False,False
dlog_idp,north,pre,ndvi_anom_1m_L1_3,0.006436358266275811,0.8105768757028717,False,False
dlog_idp,north,pre,sm1_anom_1m_L10_12,0.06239292191367066,0.11865703289165919,False,False
dlog_idp,north,pre,sm1_anom_1m_L1_3,0.01753022980129607,0.3919139470335362,False,False
dlog_idp,north,pre,spi6_L10_12,0.12699556626472366,0.05012558294750291,True,False
dlog_idp,north,pre,spi6_L4_6,0.03779496898224948,0.33889707108091316,False,False
dlog_idp,north,pre,spi6_drought_severity_L4_6,-0.011813027374567216,0.5205847100081558,False,False
dlog_idp,north,pre,spi6_drought_severity_L7_9,0.006901008466150277,0.6121488464241085,False,False
dlog_idp,north,pre,spi6_flood_severity_L10_12,-0.025903279566837144,0.01225023024450822,True,True
dlog_idp,north,pre,spi6_flood_severity_L4_6,-0.015335578779189849,0.1684159905386995,False,False
dlog_idp,north,pre,t2m_max_anom_1m_L10_12,0.07240657475018632,0.14094591044552773,False,False
dlog_idp,north,pre,t2m_max_anom_1m_L1_3,0.05197702842635783,0.08474940463206737,True,False
dlog_idp,south,pooled,W30_inflation_food_price_index_L1_3,-0.010873429419881018,0.7481798828892532,False,False
dlog_idp,south,pooled,W30_inflation_food_price_index_L7_9,0.03281256243916396,0.2316233031905932,False,False
dlog_idp,south,pooled,W30_ln_c_fuel_gas_L4_6,-0.0640078640181926,0.13361853828831083,False,False
dlog_idp,south,pooled,W30_ln_c_fuel_gas_L7_9,0.09513146869809205,0.24800626370859646,False,False
dlog_idp,south,pooled,W30_ln_total_best_deaths_L10_12,0.05332964662454905,0.24528523289251702,False,False
dlog_idp,south,pooled,W30_ln_total_best_deaths_L1_3,0.00488456838060567,0.8254749441652194,False,False
dlog_idp,south,pooled,W30_ln_total_events_L10_12,-0.031986373193341563,0.4847270429443442,False,False
dlog_idp,south,pooled,W30_ln_total_events_L4_6,-0.0025867460707782036,0.8939400303065563,False,False
dlog_idp,south,pooled,W30_ndvi_anom_1m_L10_12,0.03311423743155803,0.2500545348935024,False,False
dlog_idp,south,pooled,W30_ndvi_anom_1m_L4_6,0.06868253587970483,0.23805391312282453,False,False
dlog_idp,south,pooled,W30_sm1_anom_1m_L4_6,0.01735395693218736,0.7555729929687582,False,False
dlog_idp,south,pooled,W30_sm1_anom_1m_L7_9,-0.0492633830079944,0.32216205824661426,False,False
dlog_idp,south,pooled,W30_spi6_L10_12,0.030212307006620986,0.629451506735407,False,False
dlog_idp,south,pooled,W30_spi6_L1_3,0.04948705125891755,0.5776328002548232,False,False
dlog_idp,south,pooled,W30_spi6_drought_severity_L4_6,-0.050936521043668345,0.2519825730813827,False,False
dlog_idp,south,pooled,W30_spi6_drought_severity_L7_9,-0.05004080667477382,0.008272365537695725,True,True
dlog_idp,south,pooled,W30_spi6_flood_severity_L1_3,0.24355494375990686,0.011920861357275214,True,True
dlog_idp,south,pooled,W30_spi6_flood_severity_L7_9,-0.020565346168099075,0.8841779541059596,False,False
dlog_idp,south,pooled,W30_t2m_max_anom_1m_L4_6,0.20402826729551532,0.13067135371458183,False,False
dlog_idp,south,pooled,W30_t2m_max_anom_1m_L7_9,0.20796261008669661,0.00022821736659262015,True,True
dlog_idp,south,pooled,inflation_food_price_index_L10_12,0.012547957642479533,0.09753980241309557,True,False
dlog_idp,south,pooled,inflation_food_price_index_L1_3,0.008052398037333479,0.45616848398021315,False,False
dlog_idp,south,pooled,ln_c_fuel_gas_L4_6,0.04200989940257947,0.10252047067905123,False,False
dlog_idp,south,pooled,ln_c_fuel_gas_L7_9,-0.08435624254598077,0.03912329429541872,True,True
dlog_idp,south,pooled,ln_total_best_deaths_L10_12,0.016758028666477808,0.4489849388909406,False,False
dlog_idp,south,pooled,ln_total_best_deaths_L1_3,-0.027307008389302837,0.4517220731326932,False,False
dlog_idp,south,pooled,ln_total_events_L10_12,-0.026055502665482348,0.20934963862412603,False,False
dlog_idp,south,pooled,ln_total_events_L1_3,-0.0018510007264702067,0.9193157298043615,False,False
dlog_idp,south,pooled,ndvi_anom_1m_L4_6,0.01801435554754237,0.18695913198182001,False,False
dlog_idp,south,pooled,ndvi_anom_1m_L7_9,-0.014885719797560527,0.19812645051455546,False,False
dlog_idp,south,pooled,sm1_anom_1m_L1_3,-0.007774909396869146,0.6451748540821756,False,False
dlog_idp,south,pooled,sm1_anom_1m_L7_9,0.0060291894575093844,0.7057988136415028,False,False
dlog_idp,south,pooled,spi6_L4_6,-0.011153768651501146,0.6616240152991335,False,False
dlog_idp,south,pooled,spi6_L7_9,0.023478160728625352,0.4539237409956951,False,False
dlog_idp,south,pooled,spi6_drought_severity_L10_12,0.009192675720774337,0.38144432043310594,False,False
dlog_idp,south,pooled,spi6_drought_severity_L4_6,0.005517890976469657,0.4798144251478724,False,False
dlog_idp,south,pooled,spi6_flood_severity_L4_6,-0.025090575603875113,0.036262377676870905,True,True
dlog_idp,south,pooled,spi6_flood_severity_L7_9,-0.01497977952480798,0.48490501731930435,False,False
dlog_idp,south,pooled,t2m_max_anom_1m_L10_12,0.04369701945347852,0.14556078790754468,False,False
dlog_idp,south,pooled,t2m_max_anom_1m_L1_3,-0.025618019575127944,0.2661396821553197,False,False
dlog_idp,south,post,W30_inflation_food_price_index_L1_3,-0.2108167724867573,0.35527932927844486,False,False
dlog_idp,south,post,W30_inflation_food_price_index_L7_9,0.010980934510769626,0.9433594456821441,False,False
dlog_idp,south,post,W30_ln_c_fuel_gas_L4_6,0.29606619125120415,0.3056219665598987,False,False
dlog_idp,south,post,W30_ln_c_fuel_gas_L7_9,-0.26112399912494866,0.40815392641454706,False,False
dlog_idp,south,post,W30_ln_total_best_deaths_L10_12,0.10258844528527979,0.18130734111479363,False,False
dlog_idp,south,post,W30_ln_total_best_deaths_L1_3,0.06376318662619634,0.37099301571495635,False,False
dlog_idp,south,post,W30_ln_total_events_L10_12,-0.10056267223922567,0.23610497828479327,False,False
dlog_idp,south,post,W30_ln_total_events_L4_6,0.045634752882897284,0.5632084093023484,False,False
dlog_idp,south,post,W30_ndvi_anom_1m_L10_12,0.13075522881914356,0.40816855735178903,False,False
dlog_idp,south,post,W30_ndvi_anom_1m_L4_6,0.5048744946614824,0.10412342864583657,False,False
dlog_idp,south,post,W30_sm1_anom_1m_L4_6,0.05894029377155743,0.8204043938625005,False,False
dlog_idp,south,post,W30_sm1_anom_1m_L7_9,-0.07186627194249266,0.741999144727179,False,False
dlog_idp,south,post,W30_spi6_L10_12,0.3023999482277636,0.3827617949319333,False,False
dlog_idp,south,post,W30_spi6_L1_3,-0.321036631811029,0.4284536608338194,False,False
dlog_idp,south,post,W30_spi6_drought_severity_L4_6,-0.165299592245044,0.4895888049278385,False,False
dlog_idp,south,post,W30_spi6_drought_severity_L7_9,-0.082109648175814,0.35761018871480355,False,False
dlog_idp,south,post,W30_spi6_flood_severity_L1_3,0.6300373345025255,0.31340304469623925,False,False
dlog_idp,south,post,W30_spi6_flood_severity_L7_9,-0.8478330414288482,0.03526140694156532,True,True
dlog_idp,south,post,W30_t2m_max_anom_1m_L4_6,1.2598132182193746,0.1419843642439842,False,False
dlog_idp,south,post,W30_t2m_max_anom_1m_L7_9,1.6155559953279466,0.0066952230408861,True,True
dlog_idp,south,post,inflation_food_price_index_L10_12,0.11843007384034489,0.0006192962503599464,True,True
dlog_idp,south,post,inflation_food_price_index_L1_3,0.12403229912674062,0.0028478361905803773,True,True
dlog_idp,south,post,ln_c_fuel_gas_L4_6,0.14837456539018962,0.13654550506909913,False,False
dlog_idp,south,post,ln_c_fuel_gas_L7_9,-0.2964713271461042,0.09650629338790395,True,False
dlog_idp,south,post,ln_total_best_deaths_L10_12,0.08559385105374172,0.07984143640276953,True,False
dlog_idp,south,post,ln_total_best_deaths_L1_3,0.018516991411664553,0.6171947007796539,False,False
dlog_idp,south,post,ln_total_events_L10_12,-0.0879508626058448,0.11619082403030356,False,False
dlog_idp,south,post,ln_total_events_L1_3,0.0002936271447903691,0.9932783768884512,False,False
dlog_idp,south,post,ndvi_anom_1m_L4_6,0.10214487570031244,0.10695015102168548,False,False
dlog_idp,south,post,ndvi_anom_1m_L7_9,-0.07432470455979694,0.21138452575441424,False,False
dlog_idp,south,post,sm1_anom_1m_L1_3,-0.05729904089036632,0.38650750783279264,False,False
dlog_idp,south,post,sm1_anom_1m_L7_9,-0.03469874166752998,0.4782475639322423,False,False
dlog_idp,south,post,spi6_L4_6,0.11429836257556714,0.3477119112257365,False,False
dlog_idp,south,post,spi6_L7_9,-0.012500798905679619,0.8587307908041024,False,False
dlog_idp,south,post,spi6_drought_severity_L10_12,0.022573177700106466,0.4759085947861972,False,False
dlog_idp,south,post,spi6_drought_severity_L4_6,0.013267573273445668,0.629491100314167,False,False
dlog_idp,south,post,spi6_flood_severity_L4_6,-0.010985839671569608,0.8373676986351568,False,False
dlog_idp,south,post,spi6_flood_severity_L7_9,0.03774650560778465,0.49751400183833816,False,False
dlog_idp,south,post,t2m_max_anom_1m_L10_12,-0.03002907691050243,0.7261737896883727,False,False
dlog_idp,south,post,t2m_max_anom_1m_L1_3,-0.029616415851827973,0.6663641254268153,False,False
dlog_idp,south,pre,W30_inflation_food_price_index_L1_3,0.025753605128780385,0.49598159360631366,False,False
dlog_idp,south,pre,W30_inflation_food_price_index_L7_9,0.029339046122610332,0.6516703337996264,False,False
dlog_idp,south,pre,W30_ln_c_fuel_gas_L4_6,0.1445714185675426,0.06212866708733267,True,False
dlog_idp,south,pre,W30_ln_c_fuel_gas_L7_9,0.17920859352595936,0.24616738486367407,False,False
dlog_idp,south,pre,W30_ln_total_best_deaths_L10_12,-0.019877339585375988,0.7917643079105128,False,False
dlog_idp,south,pre,W30_ln_total_best_deaths_L1_3,-0.050071890989427624,0.1045815585709835,False,False
dlog_idp,south,pre,W30_ln_total_events_L10_12,0.02445174561757359,0.7451757624905215,False,False
dlog_idp,south,pre,W30_ln_total_events_L4_6,-0.036330452072699373,0.17105301540980666,False,False
dlog_idp,south,pre,W30_ndvi_anom_1m_L10_12,0.2207062537980269,0.10057881963506254,False,False
dlog_idp,south,pre,W30_ndvi_anom_1m_L4_6,0.2149408251540524,0.16810900003450158,False,False
dlog_idp,south,pre,W30_sm1_anom_1m_L4_6,-0.1100294620422382,0.06934297267677736,True,False
dlog_idp,south,pre,W30_sm1_anom_1m_L7_9,-0.2759234633264117,0.026588290423032568,True,True
dlog_idp,south,pre,W30_spi6_L10_12,-0.30012191910650265,0.00864544626197028,True,True
dlog_idp,south,pre,W30_spi6_L1_3,0.03733299658576762,0.43830578894292005,False,False
dlog_idp,south,pre,W30_spi6_drought_severity_L4_6,0.03334763630691377,0.4607800051003488,False,False
dlog_idp,south,pre,W30_spi6_drought_severity_L7_9,0.0031910995391131814,0.9496344237281573,False,False
dlog_idp,south,pre,W30_spi6_flood_severity_L1_3,-0.023549864794402797,0.4356593551078287,False,False
dlog_idp,south,pre,W30_spi6_flood_severity_L7_9,0.024435860270122324,0.6342276034638412,False,False
dlog_idp,south,pre,W30_t2m_max_anom_1m_L4_6,0.06484932391879339,0.43639993631086327,False,False
dlog_idp,south,pre,W30_t2m_max_anom_1m_L7_9,0.01011677852677647,0.8108308381930147,False,False
dlog_idp,south,pre,inflation_food_price_index_L10_12,0.008864339640476884,0.2986758989216032,False,False
dlog_idp,south,pre,inflation_food_price_index_L1_3,-0.030901334700831853,0.04415564232047453,True,True
dlog_idp,south,pre,ln_c_fuel_gas_L4_6,0.012618861064076344,0.5421137919860084,False,False
dlog_idp,south,pre,ln_c_fuel_gas_L7_9,-0.08380750966184393,0.27684348550161486,False,False
dlog_idp,south,pre,ln_total_best_deaths_L10_12,-0.007211686682623336,0.7631112577671302,False,False
dlog_idp,south,pre,ln_total_best_deaths_L1_3,-0.02087484612920757,0.4496092475083162,False,False
dlog_idp,south,pre,ln_total_events_L10_12,-0.006631038642992079,0.7760559750047011,False,False
dlog_idp,south,pre,ln_total_events_L1_3,-0.01827994735787702,0.28930398599576446,False,False
dlog_idp,south,pre,ndvi_anom_1m_L4_6,0.00568905175442956,0.6815781977839461,False,False
dlog_idp,south,pre,ndvi_anom_1m_L7_9,0.012639040316243366,0.2174021000274935,False,False
dlog_idp,south,pre,sm1_anom_1m_L1_3,0.0395342485707528,0.08717836274296165,True,False
dlog_idp,south,pre,sm1_anom_1m_L7_9,0.03682346190512651,0.19638283271922785,False,False
dlog_idp,south,pre,spi6_L4_6,0.03063249611268103,0.2447774340978126,False,False
dlog_idp,south,pre,spi6_L7_9,0.02007116031020306,0.6504843803777298,False,False
