term,beta_std_north_pooled,beta_std_north_post,beta_std_north_pre,beta_std_south_pooled,beta_std_south_post,beta_std_south_pre,pval_north_pooled,pval_north_post,pval_north_pre,pval_south_pooled,pval_south_post,pval_south_pre
spi6_L10_12,0.0008,-0.0805,0.127,,,,0.984,0.3476,0.0501,,,
spi6_L4_6,0.024,0.0666,0.0378,-0.0112,0.1143,0.0306,0.5617,0.6593,0.3389,0.6616,0.3477,0.2448
spi6_L7_9,,,,0.0235,-0.0125,0.0201,,,,0.4539,0.8587,0.6505
spi6_drought_severity_L10_12,,,,0.0092,0.0226,0.0117,,,,0.3814,0.4759,0.4243
spi6_drought_severity_L4_6,-0.0165,-0.0258,-0.0118,0.0055,0.0133,-0.0141,0.2553,0.1179,0.5206,0.4798,0.6295,0.2106
spi6_drought_severity_L7_9,0.0055,0.0235,0.0069,,,,0.5928,0.4154,0.6121,,,
spi6_flood_severity_L10_12,0.0116,0.074,-0.0259,,,,0.6893,0.3623,0.0123,,,
spi6_flood_severity_L4_6,0.0054,0.0606,-0.0153,-0.0251,-0.011,0.0043,0.8623,0.3978,0.1684,0.0363,0.8374,0.718
spi6_flood_severity_L7_9,,,,-0.015,0.0377,-0.0463,,,,0.4849,0.4975,0.0028
t2m_max_anom_1m_L10_12,0.0828,0.1415,0.0724,0.0437,-0.03,0.0285,0.1131,0.2091,0.1409,0.1456,0.7262,0.2508
t2m_max_anom_1m_L1_3,0.0673,0.1164,0.052,-0.0256,-0.0296,-0.018,0.0046,0.0438,0.0847,0.2661,0.6664,0.4546
